 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,,584.545,127.222,0.454,35.619,2012,3,92.182,25.684,1.528,0.655,0.838
2,,519.046,106.917,0.571,37.607,152,31,123.977,23.109,1.744,0.573,0.847
3,,1447.055,175.859,0.588,67.157,43,71,147.995,33.06,2.102,0.476,0.886
4,,924.677,160.107,0.453,42.838,2047,82,140.136,37.259,1.246,0.803,0.819
5,,1438.437,187.878,0.512,69.985,960,78,125.538,32.972,2.143,0.467,0.89
6,,1064.637,159.628,0.525,57.372,238,92,110.041,32.53,1.941,0.515,0.846
7,,1139.328,153.205,0.61,56.849,407,124,137.175,26.191,2.225,0.449,0.893
8,,640.506,124.791,0.517,48.478,1071,145,132.166,23.215,2.208,0.453,0.86
9,,1492.675,192.13,0.508,65.511,1216,145,109.654,39.369,1.555,0.643,0.797
10,,1066.59,158.161,0.536,62.946,1454,355,82.263,27.888,2.093,0.478,0.891
11,,740.477,112.627,0.734,42.121,1960,232,93.691,23.484,1.795,0.557,0.944
12,,1173.111,163.284,0.553,63.484,674,248,125.218,28.686,2.538,0.394,0.86
13,,1020.971,168.804,0.45,65.823,1502,268,98.589,25.364,3.095,0.323,0.821
14,,1208.503,169.105,0.531,63.414,1187,270,96.137,31.571,1.93,0.518,0.845
15,,1375.697,181.68,0.524,72.428,2025,277,125.475,29.638,2.763,0.362,0.896
16,,995.001,146.088,0.586,52.782,901,317,104.125,28.771,1.952,0.512,0.852
17,,570.87,117.886,0.516,45.847,1344,447,66.468,19.412,2.123,0.471,0.846
18,,2550.302,247.102,0.525,100.614,91,326,124.707,44.321,2.389,0.419,0.895
19,,1470.612,188.979,0.517,75.347,2006,339,92.837,29.79,2.705,0.37,0.874
20,,719.793,115.634,0.676,42.427,1446,376,97.806,24.459,1.812,0.552,0.928
21,,1523.93,188.644,0.538,75.498,1738,380,116.105,28.606,2.817,0.355,0.881
22,,1159.782,146.746,0.677,53.351,2180,435,130.878,31.17,1.633,0.612,0.913
23,,5664.924,350.405,0.58,130.946,899,431,92.225,55.593,2.402,0.416,0.922
24,,2130.422,212.325,0.594,74.518,1891,478,125.932,49.581,1.483,0.674,0.887
25,,696.581,106.985,0.765,38.602,2097,481,149.381,25.015,1.549,0.646,0.939
26,,1427.636,167.948,0.636,60.746,1146,652,81.011,32.458,1.904,0.525,0.875
27,,551.221,98.849,0.709,34.638,2460,486,110.031,22.31,1.547,0.646,0.917
28,,1199.77,156.059,0.619,53.735,1619,490,119.476,35.333,1.558,0.642,0.865
29,,537.432,104.636,0.617,36.295,2313,528,122.8,22.564,1.759,0.569,0.85
30,,1790.405,215.229,0.486,87.687,1032,541,108.715,29.107,3.426,0.292,0.867
31,,1174.375,144.02,0.711,45.054,2187,569,140.802,36.858,1.25,0.8,0.91
32,,1280.207,166.552,0.58,63.472,2051,556,103.591,33.521,2.006,0.499,0.866
33,,1647.113,214.299,0.451,76,287,557,139.704,32.783,2.135,0.468,0.836
34,,629.934,118.229,0.566,37.627,1521,559,108.925,30.839,1.139,0.878,0.835
35,,990.635,142.287,0.615,50.581,1751,714,82.684,27.726,1.942,0.515,0.9
36,,554.438,102.65,0.661,36.588,198,605,156.523,22.461,1.74,0.575,0.887
37,,1113.703,174.475,0.46,46.147,1553,731,10.154,43.059,1.117,0.895,0.771
38,,917.897,145.513,0.545,59.232,742,626,95.254,22.312,2.626,0.381,0.92
