 ,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,680.839,150.607,0.377,49.641,1.0,82.0,33.582,27.147,1.939,0.516,0.886
2,1696.984,199.074,0.538,78.308,252.0,133.0,31.006,29.44,2.864,0.349,0.886
3,602.011,137.979,0.397,58.022,609.0,50.0,16.635,18.644,3.545,0.282,0.912
4,2312.324,196.278,0.754,64.5,1196.0,1.0,136.491,50.478,1.04,0.962,0.967
5,1719.506,189.773,0.6,63.848,1361.0,1.0,131.987,43.821,1.484,0.674,0.88
6,607.641,142.012,0.379,51.008,2192.0,25.0,8.022,16.949,3.094,0.323,0.868
7,4413.1,287.128,0.673,90.937,2298.0,97.0,13.363,61.695,1.426,0.702,0.965
8,2367.481,204.402,0.712,75.218,595.0,149.0,25.064,47.595,1.576,0.634,0.952
9,773.456,152.82,0.416,62.522,1.0,198.0,56.051,27.027,2.274,0.44,0.794
10,1069.233,155.696,0.554,42.848,1565.0,66.0,126.961,36.569,1.078,0.928,0.922
11,4741.626,310.941,0.616,111.822,2043.0,177.0,94.172,63.255,1.932,0.518,0.921
12,1974.03,185.198,0.723,62.377,1.0,342.0,52.507,46.622,1.191,0.84,0.965
13,3686.986,316.469,0.463,121.006,678.0,522.0,56.889,43.031,3.148,0.318,0.887
14,3489.342,328.687,0.406,83.41,1350.0,326.0,154.997,65.211,1.171,0.854,0.846
15,5677.104,358.126,0.556,136.197,2036.0,647.0,50.048,62.194,2.379,0.42,0.889
16,4065.843,275.42,0.674,100.765,300.0,545.0,47.454,55.13,1.981,0.505,0.934
17,5812.353,338.096,0.639,121.77,718.0,605.0,45.451,63.499,1.93,0.518,0.942
18,3140.937,257.339,0.596,81.137,1215.0,548.0,61.829,53.467,1.631,0.613,0.904
19,2167.423,204.654,0.65,67.256,73.0,540.0,76.594,49.831,1.166,0.857,0.893
20,1434.99,188.425,0.508,68.257,108.0,541.0,33.453,33.551,2.135,0.468,0.894
21,795.633,119.764,0.697,44.737,1387.0,442.0,96.963,27.296,1.54,0.649,0.928
22,1141.166,204.841,0.342,77.964,422.0,555.0,20.09,33.437,2.857,0.35,0.662
23,3604.252,373.932,0.324,99.272,436.0,669.0,22.274,56.378,1.805,0.554,0.817
24,4345.188,266.366,0.77,88.801,929.0,722.0,39.89,61.502,1.362,0.734,0.966
25,2496.869,201.429,0.773,67.529,2442.0,680.0,66.008,51.525,1.236,0.809,0.954
26,1896.352,244.767,0.398,94.984,1869.0,686.0,36.584,34.277,3.089,0.324,0.817
27,1011.548,150.868,0.558,53.463,2374.0,700.0,84.542,29.708,2.198,0.455,0.869
28,4974.548,285.02,0.77,94.16,1154.0,709.0,27.672,73.156,1.3,0.769,0.953
29,4426.314,271.92,0.752,97.828,48.0,711.0,24.789,62.556,1.515,0.66,0.963
30,821.143,119.934,0.717,40.749,334.0,645.0,36.203,31.313,1.252,0.799,0.959
31,5925.424,432.637,0.398,144.889,1966.0,819.0,34.322,65.085,2.426,0.412,0.833
32,4753.002,373.708,0.428,140.071,536.0,980.0,52.77,60.143,2.47,0.405,0.84
33,542.947,115.881,0.508,47.02,1071.0,743.0,65.283,19.704,2.334,0.428,0.919
34,1686.527,161.798,0.81,54.11,796.0,759.0,52.125,44.196,1.138,0.879,0.964
35,731.399,121.676,0.621,46.337,243.0,764.0,30.317,19.717,2.378,0.421,0.934
36,5761.678,329.575,0.667,118.429,362.0,1023.0,79.945,73.22,1.632,0.613,0.918
37,460.327,100.999,0.567,35.851,2256.0,768.0,49.986,20.186,1.95,0.513,0.89
38,4257.742,295.478,0.613,99.489,2424.0,969.0,70.701,65.917,1.399,0.715,0.938
39,3029.704,253.272,0.594,87.334,1764.0,891.0,42.483,52.443,1.658,0.603,0.916
40,1885.895,198.045,0.604,75.623,1.0,951.0,84.341,36.949,2.243,0.446,0.941
41,3765.355,241.431,0.812,74.799,1128.0,952.0,85.581,67.771,1.084,0.923,0.972
42,404.022,92.152,0.598,32.039,919.0,734.0,119.82,16.97,1.963,0.509,0.85
43,2037.231,195.602,0.669,62.846,1612.0,895.0,42.814,44.012,1.487,0.673,0.958
44,802.988,154.505,0.423,46.042,1296.0,886.0,76.373,26.543,1.754,0.57,0.867
45,2627.061,254.525,0.51,84.727,121.0,998.0,68.156,50.386,1.9,0.526,0.801
46,7065.211,331.385,0.808,116.143,649.0,967.0,22.298,83.391,1.364,0.733,0.973
47,7467.394,367.263,0.696,135.069,1985.0,1003.0,31.975,77.797,1.828,0.547,0.955
48,622.58,126.016,0.493,47.1,953.0,940.0,49.086,24.333,2.083,0.48,0.831
49,2072.968,215.887,0.559,70.235,1855.0,993.0,44.413,40.618,1.678,0.596,0.873
50,4071.818,263.875,0.735,89.617,215.0,1143.0,75.543,67.491,1.287,0.777,0.94
51,1432.577,205.712,0.425,77.615,2222.0,1081.0,58.392,35.562,2.71,0.369,0.805
52,2848.147,245.664,0.593,68.683,1385.0,1077.0,67.358,55.636,1.237,0.808,0.958
53,3445.562,240.473,0.749,87.657,1618.0,1057.0,28.151,58.394,1.408,0.71,0.958
54,598.104,156.984,0.305,36.162,1526.0,942.0,6.459,23.281,1.57,0.637,0.85
55,1052.341,130.194,0.78,46.113,1254.0,1020.0,38.134,29.2,1.573,0.636,0.968
56,1970.468,221.626,0.504,83.147,885.0,1070.0,35.375,35.147,2.55,0.392,0.912
57,4802.413,394.799,0.387,173.771,2359.0,1402.0,67.036,47.536,3.951,0.253,0.902
58,3659.063,256.347,0.7,88.415,1033.0,1131.0,39.243,54.029,1.628,0.614,0.975
59,1584.028,183.691,0.59,62.803,1.0,964.0,140.036,44.012,1.619,0.618,0.869
60,7089.112,373.974,0.637,126.348,417.0,1262.0,29.936,74.68,1.669,0.599,0.943
61,748.75,141.377,0.471,40.052,1565.0,986.0,92.911,27.672,1.592,0.628,0.89
62,5899.454,375.186,0.527,136.792,204.0,1311.0,47.812,68.204,2.273,0.44,0.881
63,7999.655,358.367,0.783,123.836,1831.0,1376.0,81.182,88.887,1.348,0.742,0.976
64,1257.914,175.564,0.513,45.963,1281.0,1044.0,129.914,41.022,1.161,0.861,0.872
65,898.018,131.261,0.655,44.962,756.0,1119.0,35.487,25.874,1.619,0.618,0.946
66,738.179,132.994,0.524,51.697,876.0,1123.0,26.061,22.977,2.728,0.367,0.846
67,1015.685,138.452,0.666,46.648,2000.0,1080.0,142.381,32.918,1.45,0.69,0.914
68,2469.52,195.375,0.813,63.077,1435.0,1090.0,120.7,51.088,1.24,0.806,0.977
69,1551.278,235.568,0.351,84.26,2134.0,1319.0,70.982,32.63,3.023,0.331,0.817
70,819.65,134.824,0.567,54.343,1138.0,1208.0,49.554,21.643,2.654,0.377,0.891
71,4675.093,269.063,0.812,88.771,49.0,1344.0,70.596,69.18,1.287,0.777,0.978
72,1759.609,198.828,0.559,60.088,885.0,1245.0,29.023,40.983,1.46,0.685,0.94
73,5043.149,303.154,0.69,112.188,1599.0,1450.0,81.135,65.465,1.769,0.565,0.953
74,3660.213,288.965,0.551,107.901,620.0,1323.0,30.593,50.264,2.652,0.377,0.831
75,1856.823,181.975,0.705,65.54,1226.0,1349.0,81.074,40.699,1.454,0.688,0.943
76,1385.234,162.305,0.661,57.145,1374.0,1163.0,97.842,35.446,1.656,0.604,0.943
77,584.66,107.286,0.638,41.088,1029.0,1246.0,37.626,24.561,1.725,0.58,0.9
78,4807.354,348.47,0.497,143.276,2406.0,1584.0,68.778,51.802,2.636,0.379,0.954
79,454.927,88.501,0.73,31.604,1065.0,1284.0,22.714,20.434,1.635,0.612,0.93
80,1545.533,189.39,0.541,81.582,1237.0,1489.0,68.552,31.52,2.605,0.384,0.939
81,6029.991,369.028,0.556,109.866,1882.0,1515.0,47.251,76.305,1.353,0.739,0.928
82,431.83,92.529,0.634,35.929,333.0,1346.0,26.323,15.479,2.371,0.422,0.914
83,3789.945,261.518,0.696,98.643,1082.0,1557.0,70.32,57.141,1.644,0.608,0.951
84,3131.514,240.924,0.678,76.986,378.0,1379.0,1.766,55.254,1.379,0.725,0.958
85,1178.857,171.071,0.506,70.068,2236.0,1486.0,57.848,32.863,1.896,0.527,0.845
86,440.333,106.71,0.486,46.446,1.0,1319.0,90.836,14.915,2.96,0.338,0.963
87,6143.062,318.694,0.76,107.334,25.0,1560.0,39.875,75.912,1.372,0.729,0.973
88,3061.534,281.329,0.486,95.298,1304.0,1613.0,80.169,54.476,2.191,0.457,0.751
89,2356.219,245.108,0.493,77.828,1766.0,1351.0,96.754,41.563,2.094,0.478,0.86
90,2912.267,245.346,0.608,95.533,2170.0,1352.0,96.52,37.288,2.611,0.383,0.964
91,1451.767,179.899,0.564,57.244,295.0,1359.0,100.578,35.127,1.741,0.575,0.917
92,408.388,95.945,0.557,34.772,1824.0,1465.0,60.186,16.207,1.959,0.51,0.896
93,4121.115,263.461,0.746,96.72,687.0,1674.0,63.345,63.519,1.48,0.676,0.954
94,1449.813,209.894,0.414,87.177,2503.0,1676.0,77.423,28.814,3.083,0.324,0.923
95,2701.293,228.754,0.649,91.1,2265.0,1702.0,75.343,42.799,2.149,0.465,0.96
96,1943.924,198.416,0.62,57.791,1552.0,1443.0,99.794,45.649,1.183,0.845,0.934
97,414.019,81.679,0.78,29.6,1631.0,1530.0,50.11,21.017,1.197,0.836,0.96
98,4670.152,374.474,0.419,127.256,294.0,1773.0,52.794,58.911,2.302,0.434,0.845
99,400.575,88.762,0.639,32.348,1027.0,1490.0,95.412,19.203,1.771,0.565,0.88
100,2151.91,181.09,0.825,61.565,1824.0,1575.0,157.671,46.759,1.288,0.777,0.973
101,4412.985,279.562,0.71,98.425,853.0,1805.0,61.846,63.653,1.606,0.623,0.942
102,3971.502,306.749,0.53,87.329,1055.0,1752.0,53.842,68.115,1.3,0.769,0.876
103,5761.448,308.025,0.763,112.633,469.0,1827.0,56.166,67.001,1.599,0.625,0.965
104,834.473,114.607,0.798,36.692,1638.0,1641.0,62.488,29.878,1.199,0.834,0.949
105,701.752,136.946,0.47,52.552,1.0,1704.0,88.891,29.831,1.424,0.702,0.85
106,1145.648,154.272,0.605,51.315,2003.0,1592.0,136.606,34.68,1.706,0.586,0.822
107,3983.453,289.575,0.597,108.034,1254.0,1849.0,55.612,58.86,2.032,0.492,0.888
108,1725.826,159.279,0.855,50.672,1687.0,1649.0,171.924,45.938,1.042,0.959,0.976
109,1396.495,184.775,0.514,70.009,207.0,1789.0,79.397,33.296,2.431,0.411,0.851
110,3331.342,247.615,0.683,89.418,1419.0,1806.0,38.999,53.171,1.684,0.594,0.943
111,541.683,111.731,0.545,32.839,2345.0,1712.0,82.288,22.793,1.424,0.702,0.931
112,3834.76,245.375,0.8,84.496,4.0,1851.0,51.843,62.3,1.343,0.745,0.973
113,637.518,102.259,0.766,35.556,1993.0,1665.0,138.865,25.12,1.37,0.73,0.952
114,2199.023,197.792,0.706,63.73,684.0,1683.0,143.435,52.728,1.184,0.844,0.919
115,634.415,119.668,0.557,44.779,1854.0,1682.0,156.346,24.069,1.721,0.581,0.876
116,581.902,114.374,0.559,36.781,1791.0,1730.0,160.062,28.408,1.373,0.729,0.816
117,1614.823,211.598,0.453,61.471,1729.0,1722.0,96.968,53.981,1.069,0.935,0.76
118,4337.719,295.031,0.626,107.765,1437.0,1919.0,32.54,63.729,1.738,0.575,0.958
119,942.143,145.342,0.56,52.301,1902.0,1817.0,26.565,26.237,2.063,0.485,0.898
120,3513.358,256.591,0.671,96.702,876.0,1919.0,12.965,52.542,1.862,0.537,0.98
121,1666.992,184.919,0.613,65.191,551.0,1906.0,25.899,36.664,1.838,0.544,0.92
122,3257.57,241.463,0.702,94.494,165.0,1917.0,12.64,44.746,1.946,0.514,0.982
123,1399.598,192.02,0.477,59.612,759.0,1891.0,22.043,38.983,1.327,0.754,0.887
124,1395.921,199.985,0.439,68.122,1941.0,1919.0,8.009,32.542,2.011,0.497,0.902
125,632.807,116.797,0.583,34.797,443.0,1919.0,42.236,27.119,1.06,0.943,0.932
126,928.124,168.495,0.411,64.105,1758.0,1919.0,18.818,26.78,2.348,0.426,0.908
127,878.598,153.969,0.466,66.587,1154.0,1919.0,3.795,18.983,3.496,0.286,0.941
128,417.466,119.262,0.369,54.242,606.0,1919.0,0.716,12.542,3.863,0.259,0.971
129,2511.233,215.646,0.596,75.467,1150.047,1148.586,62.993,43.655,1.861,0.592,0.91
130,1854.015,82.573,0.131,29.969,735.084,533.109,38.909,17.732,0.628,0.175,0.057
131,400.575,81.679,0.305,29.6,1.0,1.0,0.716,12.542,1.04,0.253,0.662
132,7999.655,432.637,0.855,173.771,2503.0,1919.0,171.924,88.887,3.951,0.962,0.982
